epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10893.9,0.98873,1.18594,1.33092,0.82143,0.74234,0.83271,0.63637,0.88608,0.72395,1.25487,0.000492625,0.000492625,0.000492625
43,11163.2,0.98454,1.16484,1.33805,0.81953,0.77033,0.84403,0.65302,0.84831,0.68085,1.23091,0.00048025,0.00048025,0.00048025
44,11429.6,0.98075,1.17237,1.33541,0.83035,0.77096,0.85164,0.66432,0.84059,0.67581,1.22655,0.000467875,0.000467875,0.000467875
45,11693.4,0.98156,1.16985,1.33119,0.7941,0.74658,0.81831,0.63469,0.8549,0.70063,1.23953,0.0004555,0.0004555,0.0004555
46,11957,0.96245,1.10666,1.31823,0.84247,0.75545,0.83916,0.65933,0.83118,0.65407,1.22887,0.000443125,0.000443125,0.000443125
47,12222.2,0.96125,1.12292,1.32238,0.85691,0.73619,0.84478,0.66272,0.82881,0.66178,1.22989,0.00043075,0.00043075,0.00043075
48,12488.6,0.95754,1.11347,1.31197,0.83999,0.74668,0.84602,0.66081,0.82409,0.65944,1.23034,0.000418375,0.000418375,0.000418375
49,12751.1,0.95427,1.09997,1.31454,0.78285,0.77261,0.84087,0.65815,0.82013,0.68455,1.21623,0.000406,0.000406,0.000406
50,13013.3,0.93345,1.06952,1.29073,0.80985,0.75644,0.83137,0.65102,0.82899,0.66256,1.2184,0.000393625,0.000393625,0.000393625
51,13277,0.94341,1.06288,1.30142,0.81945,0.804,0.87121,0.67574,0.82361,0.60703,1.21793,0.00038125,0.00038125,0.00038125
52,13536.8,0.93471,1.05789,1.29522,0.87776,0.76427,0.86646,0.67488,0.82276,0.62996,1.21116,0.000368875,0.000368875,0.000368875
53,13800.5,0.92645,1.03644,1.29694,0.83559,0.77191,0.85797,0.66986,0.81573,0.64383,1.21397,0.0003565,0.0003565,0.0003565
54,14061.5,0.911,1.01214,1.26663,0.8562,0.74835,0.84883,0.66696,0.81315,0.66401,1.2088,0.000344125,0.000344125,0.000344125
55,14324,0.91369,1.03347,1.27859,0.79134,0.77911,0.84992,0.67017,0.81769,0.65765,1.20623,0.00033175,0.00033175,0.00033175
56,14590.5,0.90803,0.99775,1.26912,0.84955,0.80078,0.86682,0.68679,0.80401,0.60014,1.19906,0.000319375,0.000319375,0.000319375
57,14855,0.90605,1.02444,1.2685,0.85462,0.7728,0.85332,0.67396,0.79517,0.65119,1.19663,0.000307,0.000307,0.000307
58,15119.8,0.90402,0.97956,1.26115,0.82481,0.80536,0.86733,0.6881,0.79338,0.59094,1.18987,0.000294625,0.000294625,0.000294625
59,15383.5,0.89651,0.98319,1.26871,0.84068,0.76761,0.85737,0.67951,0.79694,0.609,1.19115,0.00028225,0.00028225,0.00028225
60,15647.2,0.90136,0.98394,1.27294,0.84554,0.78784,0.85606,0.67498,0.79086,0.66059,1.19076,0.000269875,0.000269875,0.000269875
61,15908.2,0.89923,0.96025,1.26384,0.86624,0.76587,0.85789,0.68086,0.79168,0.61529,1.1889,0.0002575,0.0002575,0.0002575
62,16171.4,0.8825,0.95236,1.25206,0.85157,0.77528,0.85443,0.68272,0.78218,0.64325,1.18465,0.000245125,0.000245125,0.000245125
63,16434.1,0.87594,0.95718,1.25555,0.8686,0.78852,0.8668,0.68967,0.78393,0.59661,1.18232,0.00023275,0.00023275,0.00023275
64,16696.3,0.86696,0.93802,1.25048,0.83751,0.80692,0.86421,0.69119,0.77975,0.5979,1.18361,0.000220375,0.000220375,0.000220375
65,16959.8,0.86979,0.93747,1.25129,0.86518,0.80083,0.86802,0.69057,0.78252,0.61266,1.18657,0.000208,0.000208,0.000208
66,17220.7,0.86356,0.92425,1.24671,0.86306,0.81214,0.86698,0.69399,0.77234,0.58865,1.18123,0.000195625,0.000195625,0.000195625
67,17484.6,0.86135,0.89079,1.2422,0.85796,0.80249,0.86807,0.69513,0.76807,0.61531,1.17622,0.00018325,0.00018325,0.00018325
68,17749.9,0.85015,0.88381,1.23172,0.84124,0.81603,0.87022,0.70079,0.76785,0.6128,1.17265,0.000170875,0.000170875,0.000170875
69,18011,0.85346,0.89988,1.23835,0.87217,0.80489,0.87533,0.70376,0.76382,0.61448,1.17375,0.0001585,0.0001585,0.0001585
70,18275.3,0.84737,0.88078,1.23206,0.86299,0.79634,0.8683,0.69952,0.75515,0.62565,1.16813,0.000146125,0.000146125,0.000146125
71,18531.6,0.66841,0.58496,1.15603,0.86359,0.79462,0.87064,0.70183,0.75428,0.61578,1.16736,0.00013375,0.00013375,0.00013375
72,18803,0.65904,0.55247,1.15489,0.90196,0.78463,0.86932,0.70417,0.75964,0.62437,1.17254,0.000121375,0.000121375,0.000121375
73,19067.5,0.65847,0.53409,1.14569,0.88164,0.77875,0.86041,0.6989,0.75063,0.67961,1.16579,0.000109,0.000109,0.000109
74,19332.7,0.64037,0.53251,1.13969,0.88012,0.78151,0.86272,0.70117,0.74603,0.65741,1.1651,9.6625e-05,9.6625e-05,9.6625e-05
75,19597.8,0.63659,0.50395,1.1338,0.88473,0.78284,0.86153,0.70037,0.73785,0.62845,1.16349,8.425e-05,8.425e-05,8.425e-05
76,19863.1,0.62754,0.49509,1.11835,0.87786,0.80947,0.86802,0.71007,0.73524,0.60947,1.1645,7.1875e-05,7.1875e-05,7.1875e-05
77,20129.1,0.62772,0.48939,1.12616,0.89188,0.80588,0.8715,0.71294,0.73327,0.60227,1.16104,5.95e-05,5.95e-05,5.95e-05
78,20392.5,0.62353,0.49278,1.12633,0.88905,0.79415,0.87076,0.70969,0.7372,0.61262,1.16244,4.7125e-05,4.7125e-05,4.7125e-05
79,20658,0.6234,0.48187,1.11916,0.8863,0.80141,0.87316,0.71315,0.73167,0.60931,1.15982,3.475e-05,3.475e-05,3.475e-05
80,20924.4,0.60807,0.46029,1.11569,0.88347,0.80955,0.87332,0.71555,0.72842,0.60144,1.15783,2.2375e-05,2.2375e-05,2.2375e-05
